target_pos,cue_pos,condition,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
-0.5,-0.5,valid,left,left,0,0.539829685,3,3,33,0,,,,,,,,,74.80767678,None,75.29084483,75.49009835,75.49009835,None,left,0.539829685,75.49009835,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left ,left,0,0.668024602,3,4,34,6,,,,,,,,,76.05706577,None,76.54073394,76.74084167,76.74084167,None,left,0.668024602,76.74084167,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.539749737,3,5,35,9,,,,,,,,,77.44055162,None,77.92424923,78.12427961,78.12427961,None,left,0.539749737,78.12427961,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.688677252,3,6,36,5,,,,,,,,,78.69197557,None,79.17595573,79.37428079,79.37428079,None,left,0.688677252,79.37428079,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.517549382,3,7,37,1,,,,,,,,,80.09168213,None,80.57593891,80.77442918,80.77442918,None,right,0.517549382,80.77442918,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.59028299,3,8,38,8,,,,,,,,,81.30896763,None,81.79256355,81.99255105,81.99255105,None,right,0.59028299,81.99255105,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.721089128,3,9,39,2,,,,,,,,,82.60944317,None,83.09268905,83.29279958,83.29279958,None,right,0.721089128,83.29279958,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.508498765,4,0,40,9,,,,,,,,,84.04270689,None,84.52609768,84.72621707,84.72621707,None,left,0.508498765,84.72621707,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.48067656,4,1,41,0,,,,,,,,,85.25904304,None,85.74294532,85.94306554,85.94306554,None,left,0.48067656,85.94306554,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.581986762,4,2,42,7,,,,,,,,,86.44307072,None,86.92637325,87.12666441,87.12666441,None,right,0.581986762,87.12666441,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left,left,0,0.650870757,4,3,43,3,,,,,,,,,87.72605984,None,88.20916804,88.4095114,88.4095114,None,left,0.650870757,88.4095114,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,0.5,invalid,left ,left,0,0.617013127,4,4,44,6,,,,,,,,,89.09259762,None,89.57611784,89.77648529,89.77648529,None,left,0.617013127,89.77648529,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,0.5,valid,right ,right,0,0.676716763,4,5,45,1,,,,,,,,,90.40971624,None,90.89332446,91.09369734,91.09369734,None,right,0.676716763,91.09369734,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.61359374,4,6,46,8,,,,,,,,,91.79315713,None,92.27621641,92.47674581,92.47674581,None,right,0.61359374,92.47674581,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left,left,0,0.538884118,4,7,47,4,,,,,,,,,93.11028427,None,93.59338045,93.79333893,93.79333893,None,left,0.538884118,93.79333893,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
-0.5,-0.5,valid,left ,left,0,0.596511747,4,8,48,5,,,,,,,,,94.36012407,None,94.8433161,95.04360685,95.04360685,None,left,0.596511747,95.04360685,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
0.5,-0.5,invalid,right ,right,0,0.51003158,4,9,49,2,,,,,,,,,95.66003268,None,96.14353817,96.34310206,96.34310206,None,right,0.51003158,96.34310206,None,E,1,2021_Apr_09_1342,Posner_Cueing_Task,2020.2.10,60.07445267
