target_pos,cue_pos,conditions ,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
-0.5,0.5,invalid,left ,left,0,0.293152285,3,3,33,6,,,,,,,,,78.73456551,None,79.21810484,79.41804106,79.41804106,None,left,0.293152285,79.41804106,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left ,left,0,0.29805162,3,4,34,5,,,,,,,,,79.73456853,None,80.21827544,80.41819104,80.41819104,None,left,0.29805162,80.41819104,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,-0.5,invalid,right ,right,0,0.26882707,3,5,35,2,,,,,,,,,80.73489785,None,81.21823371,81.41827028,81.41827028,None,right,0.26882707,81.41827028,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,0.5,invalid,left,left,0,0.266335303,3,6,36,3,,,,,,,,,81.71769769,None,82.20100877,82.4016956,82.4016956,None,left,0.266335303,82.4016956,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,0.5,valid,right ,right,0,0.257022223,3,7,37,1,,,,,,,,,82.70143632,None,83.18510009,83.38503165,83.38503165,None,right,0.257022223,83.38503165,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,-0.5,invalid,right ,right,0,0.30161437,3,8,38,8,,,,,,,,,83.66790824,None,84.15157408,84.35122685,84.35122685,None,right,0.30161437,84.35122685,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left ,left,0,0.27310153,3,9,39,9,,,,,,,,,84.68445014,None,85.16846924,85.36785468,85.36785468,None,left,0.27310153,85.36785468,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left,left,0,0.303627963,4,0,40,4,,,,,,,,,85.66855969,None,86.15125895,86.35130783,86.35130783,None,left,0.303627963,86.35130783,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,0.5,invalid,left ,left,0,0.299443997,4,1,41,6,,,,,,,,,86.68537397,None,87.1685386,87.36848192,87.36848192,None,left,0.299443997,87.36848192,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,-0.5,invalid,right ,right,0,0.27792373,4,2,42,8,,,,,,,,,87.68535327,None,88.16873476,88.36873412,88.36873412,None,right,0.27792373,88.36873412,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,0.5,valid,right ,left,1,0.301467677,4,3,43,7,,,,,,,,,88.6686783,None,89.15216749,89.35216022,89.35216022,None,left,0.301467677,89.35216022,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,0.5,invalid,left,left,0,0.290738932,4,4,44,3,,,,,,,,,89.68550553,None,90.16825837,90.36896475,90.36896475,None,left,0.290738932,90.36896475,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left,left,0,0.24377023,4,5,45,0,,,,,,,,,90.68533716,None,91.16834554,91.36892211,91.36892211,None,left,0.24377023,91.36892211,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,0.5,valid,right ,right,0,0.215944463,4,6,46,1,,,,,,,,,91.63549989,None,92.11842546,92.31875851,92.31875851,None,right,0.215944463,92.31875851,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left ,left,0,0.213450565,4,7,47,5,,,,,,,,,92.55186012,None,93.03534973,93.23505855,93.23505855,None,left,0.213450565,93.23505855,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
0.5,-0.5,invalid,right ,right,0,0.26808447,4,8,48,2,,,,,,,,,93.46896464,None,93.95245486,94.15233529,94.15233529,None,right,0.26808447,94.15233529,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
-0.5,-0.5,valid,left ,left,0,0.227818933,4,9,49,9,,,,,,,,,94.45230037,None,94.93588165,95.13566535,95.13566535,None,left,0.227818933,95.13566535,None,D,1,2021_Apr_09_1148,Posner_Cueing_Task,2020.2.10,60.17553927
