target_pos,cue_pos,conditions,corrAns,resp.keys,no. of errors,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro.started,intro.stopped,instruction.started,instruction.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.started,instruction_resp.stopped,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.keys,resp.rt,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
-0.5,-0.5,valid,left ,left,0,0.429422183,3,9,39,5,,,,,,,,,72.12719322,None,72.61087984,72.8107648,72.8107648,None,left,0.429422183,72.8107648,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left ,left,0,0.438108237,4,0,40,5,,,,,,,,,73.26063424,None,73.74327878,73.94395406,73.94395406,None,left,0.438108237,73.94395406,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,-0.5,invalid,right ,right,0,0.411583457,4,1,41,8,,,,,,,,,74.41069476,None,74.8946195,75.09450304,75.09450304,None,right,0.411583457,75.09450304,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,0.5,valid,right ,right,0,0.424011872,4,2,42,1,,,,,,,,,75.52765167,None,76.01096349,76.21098107,76.21098107,None,right,0.424011872,76.21098107,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,-0.5,invalid,right ,right,0,0.423302937,4,3,43,2,,,,,,,,,76.6605759,None,77.14454881,77.34373806,77.34373806,None,right,0.423302937,77.34373806,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left,left,0,0.347982472,4,4,44,0,,,,,,,,,77.79423125,None,78.27797055,78.47801272,78.47801272,None,left,0.347982472,78.47801272,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left ,left,0,0.352095268,4,5,45,9,,,,,,,,,78.84443997,None,79.32786928,79.52668022,79.52668022,None,left,0.352095268,79.52668022,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,0.5,invalid,left,left,0,0.433102158,4,6,46,3,,,,,,,,,79.91127435,None,80.39480153,80.59474147,80.59474147,None,left,0.433102158,80.59474147,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,-0.5,valid,left,left,0,0.52713099,4,7,47,4,,,,,,,,,81.06131328,None,81.5447175,81.74472865,81.74472865,None,left,0.52713099,81.74472865,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
0.5,0.5,valid,right ,right,0,0.38850302,4,8,48,7,,,,,,,,,82.29488426,None,82.77825672,82.97814189,82.97814189,None,right,0.38850302,82.97814189,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
-0.5,0.5,invalid,left ,left,0,0.367959705,4,9,49,6,,,,,,,,,83.3946808,None,83.87822113,84.07863155,84.07863155,None,left,0.367959705,84.07863155,None,F,1,2021_Apr_09_1802,Posner_Cueing_Task,2020.2.10,60.04211666
